Type                                 Module                      Label        Process      
-------------------------------------------------------------------------------------------
GenEventInfoProduct                  "generator"                 ""           "SIM"        
edm::TriggerResults                  "TriggerResults"            ""           "SIM"        
vector<reco::GenJet>                 "ak5GenJets"                ""           "SIM"        
vector<reco::GenMET>                 "genMetTrue"                ""           "SIM"        
vector<reco::GenParticle>            "genParticles"              ""           "SIM"        
edm::TriggerResults                  "TriggerResults"            ""           "HLT"        
vector<PileupSummaryInfo>            "addPileupInfo"             ""           "HLT"        
HcalNoiseSummary                     "hcalnoise"                 ""           "RECO"       
L1GlobalTriggerReadoutRecord         "gtDigis"                   ""           "RECO"       
double                               "ak5PFJets"                 "rho"        "RECO"       
double                               "kt6PFJets"                 "rho"        "RECO"       
double                               "kt6PFJetsCentralChargedPileUp"   "rho"        "RECO"       
double                               "kt6PFJetsCentralNeutral"   "rho"        "RECO"       
double                               "kt6PFJetsCentralNeutralTight"   "rho"        "RECO"       
double                               "ak5PFJets"                 "sigma"      "RECO"       
edm::ConditionsInEventBlock          "conditionsInEdm"           ""           "RECO"       
edm::TriggerResults                  "TriggerResults"            ""           "RECO"       
reco::BeamSpot                       "offlineBeamSpot"           ""           "RECO"       
vector<DcsStatus>                    "scalersRawToDigi"          ""           "RECO"       
vector<reco::GsfElectron>            "gsfElectrons"              ""           "RECO"       
vector<reco::GsfElectronCore>        "gsfElectronCores"          ""           "RECO"       
vector<reco::Muon>                   "muons"                     ""           "RECO"       
vector<reco::PFCandidate>            "particleFlow"              ""           "RECO"       
vector<reco::PFJet>                  "ak5PFJets"                 ""           "RECO"       
vector<reco::Track>                  "generalTracks"             ""           "RECO"       
vector<reco::Vertex>                 "offlinePrimaryVertices"    ""           "RECO"       
vector<reco::Vertex>                 "offlinePrimaryVerticesWithBS"   ""           "RECO"       
double                               "ak5PFJets"                 "rho"        "PATTuple"   
double                               "iterativeCone5PFJets"      "rho"        "PATTuple"   
double                               "kt6PFJets"                 "rho"        "PATTuple"   
double                               "kt6PFJetsCentralChargedPileUp"   "rho"        "PATTuple"   
double                               "kt6PFJetsCentralNeutral"   "rho"        "PATTuple"   
double                               "kt6PFJetsCentralNeutralTight"   "rho"        "PATTuple"   
double                               "kt6PFJetsForIsolation"     "rho"        "PATTuple"   
double                               "kt6PFJetsForRhoComputationVoronoi"   "rho"        "PATTuple"   
double                               "ak5PFJets"                 "sigma"      "PATTuple"   
edm::TriggerResults                  "TriggerResults"            ""           "PATTuple"   
edm::ValueMap<reco::IsoDeposit>      "tauIsoDepositPFCandidates"   ""           "PATTuple"   
edm::ValueMap<reco::IsoDeposit>      "tauIsoDepositPFChargedHadrons"   ""           "PATTuple"   
edm::ValueMap<reco::IsoDeposit>      "tauIsoDepositPFGammas"     ""           "PATTuple"   
edm::ValueMap<reco::IsoDeposit>      "tauIsoDepositPFNeutralHadrons"   ""           "PATTuple"   
reco::JetPiZeroAssociation           "ak5PFJetsLegacyHPSPiZeros"   ""           "PATTuple"   
reco::PFTauDiscriminator             "hpsPFTauDiscriminationByDeadECALElectronRejection"   ""           "PATTuple"   
reco::PFTauDiscriminator             "hpsPFTauDiscriminationByDecayModeFinding"   ""           "PATTuple"   
reco::PFTauDiscriminator             "hpsPFTauDiscriminationByIsolationMVA2raw"   ""           "PATTuple"   
reco::PFTauDiscriminator             "hpsPFTauDiscriminationByIsolationMVAraw"   ""           "PATTuple"   
reco::PFTauDiscriminator             "hpsPFTauDiscriminationByLooseChargedIsolation"   ""           "PATTuple"   
reco::PFTauDiscriminator             "hpsPFTauDiscriminationByLooseCombinedIsolationDBSumPtCorr"   ""           "PATTuple"   
reco::PFTauDiscriminator             "hpsPFTauDiscriminationByLooseCombinedIsolationDBSumPtCorr3Hits"   ""           "PATTuple"   
reco::PFTauDiscriminator             "hpsPFTauDiscriminationByLooseElectronRejection"   ""           "PATTuple"   
reco::PFTauDiscriminator             "hpsPFTauDiscriminationByLooseIsolation"   ""           "PATTuple"   
reco::PFTauDiscriminator             "hpsPFTauDiscriminationByLooseIsolationDBSumPtCorr"   ""           "PATTuple"   
reco::PFTauDiscriminator             "hpsPFTauDiscriminationByLooseIsolationMVA"   ""           "PATTuple"   
reco::PFTauDiscriminator             "hpsPFTauDiscriminationByLooseIsolationMVA2"   ""           "PATTuple"   
reco::PFTauDiscriminator             "hpsPFTauDiscriminationByLooseMuonRejection"   ""           "PATTuple"   
reco::PFTauDiscriminator             "hpsPFTauDiscriminationByLooseMuonRejection2"   ""           "PATTuple"   
reco::PFTauDiscriminator             "hpsPFTauDiscriminationByLooseMuonRejection3"   ""           "PATTuple"   
reco::PFTauDiscriminator             "hpsPFTauDiscriminationByMVA2LooseElectronRejection"   ""           "PATTuple"   
reco::PFTauDiscriminator             "hpsPFTauDiscriminationByMVA2MediumElectronRejection"   ""           "PATTuple"   
